0	6152	5761	4462	5776	4888	3133	3082	6750	4283	6604	6762	10501	8860	7795	5622	5433
8588	0	4863	12814	14128	13240	11485	11434	3106	2774	6459	5864	18853	7962	16147	3479	13785
5803	4900	0	10029	11343	10455	8700	8649	5533	3066	3895	1170	16068	3268	13362	2132	11000
6560	10598	10207	0	8386	7498	5743	2215	11197	8730	9214	11208	3336	10632	10405	10068	1916
7843	11881	11490	8646	0	2916	5744	5766	12479	10012	10438	12491	7161	11856	2131	11351	5012
5723	9761	9370	6526	3335	0	3623	3646	10359	7892	8317	10371	6809	9735	4997	9231	4660
5019	9057	8666	5822	5495	2772	0	4442	9655	7188	4832	9667	7301	6250	7514	8527	5152
5665	9703	9312	4024	5969	5081	4758	0	10302	7835	8319	10313	10063	9737	7988	9173	5625
12799	9457	11767	17025	18339	17451	15696	15645	0	10236	13363	12767	16120	14865	20358	11628	17996
7949	4577	6917	12175	13489	12601	10846	10795	2467	0	8513	7917	18481	10015	15508	6778	13146
7978	6407	3778	8824	10138	9250	4861	7444	7040	4573	0	4779	14862	3442	6459	3639	9794
6719	5816	1153	10945	12259	11371	9616	9565	6449	3982	4811	0	16984	2880	14278	3048	11916
12264	16302	15911	7326	6804	5916	11447	4293	16901	14434	14918	16912	0	16336	8823	15772	2197
9394	7908	3245	10240	11554	10666	6277	8860	8541	6074	3441	2879	16278	0	7875	5140	11210
9492	13530	13139	10295	2163	4565	7393	7415	14128	11661	6459	14140	8810	7877	0	13000	6661
3671	2768	2536	7897	9211	8323	6568	6517	3401	934	4132	3537	13936	5635	11230	0	8868
7274	11312	10921	3857	4654	3766	6594	2873	11911	9444	9928	11922	2197	11346	6673	10782	0
