0	808	611	533	736	697	484	533	621	447	816	627	1045	1111	968	526	823
816	0	806	1121	1324	1285	1072	1121	385	503	1073	822	1633	1306	1556	656	1411
704	778	0	1009	1212	1173	960	1009	618	444	701	170	1521	654	1444	330	1299
748	1202	1005	0	939	900	686	473	1015	841	1019	1021	596	1348	1171	920	463
888	1342	1144	910	0	453	749	768	1155	981	1147	1160	1099	1476	291	1059	790
657	1111	913	679	600	0	518	536	924	750	916	929	1041	1245	755	828	732
618	1072	874	640	748	597	0	639	885	711	639	890	1144	968	980	789	835
812	1266	1069	615	852	813	780	0	1079	905	1083	1085	1127	1412	1084	984	939
1008	851	1012	1313	1516	1477	1264	1313	0	812	1279	1028	1344	1512	1748	926	1603
606	431	610	911	1114	1075	862	911	174	0	877	626	1467	1110	1346	524	1201
821	984	621	851	1055	1016	620	851	824	650	0	637	1364	562	1082	536	1142
693	767	209	998	1201	1162	949	998	607	433	690	0	1510	569	1433	319	1288
1152	1606	1409	765	1051	1012	1090	683	1419	1245	1423	1425	0	1752	1283	1324	323
1138	1245	686	1168	1372	1333	937	1168	1085	911	553	610	1681	0	1399	797	1459
1032	1486	1288	1054	314	597	893	912	1299	1125	1060	1304	1243	1389	0	1203	934
374	448	341	679	882	843	630	679	289	115	609	357	1191	841	1114	0	969
867	1321	1124	590	746	707	1002	549	1134	960	1138	1140	323	1467	978	1039	0
